Title,Author,Average Rating,Publisher,Number of Pages,Year Published,Date Added,Exclusive Shelf
"The Golden Lily (Bloodlines, #2)",Richelle Mead,4.35,Penguin Group,418,2012,1/2/15,read
"Bloodlines (Bloodlines, #1)",Richelle Mead,4.21,Penguin Group,421,2011,12/29/14,read
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.4,Razorbill,594,2010,9/21/14,read
"Lock In (Lock In, #1)",John Scalzi,3.88,Tor Books,336,2014,10/1/14,to-read
"City of Stairs (The Divine Cities, #1)",Robert Jackson Bennett,4.11,Broadway Books,452,2014,9/21/14,to-read
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.36,Penguin Razorbill,489,2010,9/13/14,read
"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.34,Penguin Razorbill,503,2009,9/5/14,read
"World of Fire (Dev Harmer Mission, #1)",James Lovegrove,3.67,Rebellion,324,2014,7/28/14,read
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.36,Razorbill,443,2008,8/30/14,read
"Feast of Souls (The Magister Trilogy, #1)",C.S. Friedman,3.89,DAW,464,2007,8/30/14,to-read
"Black Sun Rising (The Coldfire Trilogy, #1)",C.S. Friedman,3.93,Daw Books,496,2005,8/30/14,to-read
