Reader,Title,Author,ISBN,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
Katrina,Incarnations: A History of India in Fifty Lives,Sunil Khilnani,374175497,0,4.06,"Farrar, Straus and Giroux",464,2016,11/30/16,to-read,to-read (#21),to-read
Katrina,The Royal Cookery Book (Le livre de cuisine),Jules Gouffe,1402178115,0,0,Adamant Media Corporation,618,2001,6/19/16,to-read,to-read (#20),to-read
Katrina,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,60838582,0,3.74,Harper Perennial,399,2005,4/25/16,to-read,to-read (#19),to-read
Katrina,La Trilogie des Fourmis,Bernard Werber,2253072982,0,4.22,Livre de Poche,1398,2004,4/20/16,to-read,to-read (#18),to-read
Katrina,A Short History of Nearly Everything,Bill Bryson,076790818X,0,4.2,Broadway Books,544,2004,3/13/16,to-read,to-read (#17),to-read
Katrina,The Third Plate: Field Notes on the Future of Food,Dan Barber,1594204071,5,4.25,Penguin Press,496,2014,3/10/16,,,read
Katrina,Catching Fire: How Cooking Made Us Human,Richard W. Wrangham,,0,3.86,Basic Books,309,2009,3/27/16,to-read,to-read (#16),to-read
Katrina,Pure Food: Securing the Federal Food and Drugs Act of 1906,James Harvey Young,691047634,0,3.5,Princeton University Press,326,1989,3/26/16,to-read,to-read (#15),to-read
Katrina,An Apple a Day,Joe Schwarcz,2007649,0,3.56,HarperCollins,384,2007,3/26/16,to-read,to-read (#14),to-read
Katrina,Agricultural Testament,Albert Howard,087857722X,0,4.05,Rodale Pr,0,1973,3/26/16,to-read,to-read (#13),to-read
Katrina,The Battle for God: A History of Fundamentalism,Karen Armstrong,345391691,0,3.93,Ballantine Books,480,2001,3/23/16,to-read,to-read (#12),to-read
Katrina,An Atheist History of Religion,Thomas Dugan,1478732733,0,0,Outskirts Press,202,2014,3/23/16,to-read,to-read (#11),to-read
Katrina,Battling the Gods: Atheism in the Ancient World,Tim Whitmarsh,307958337,0,3.78,Knopf,304,2015,3/23/16,to-read,to-read (#10),to-read
Katrina,Cooked: A Natural History of Transformation,Michael Pollan,1594204217,5,4.02,The Penguin Press HC,468,2013,2/24/16,,,read
Katrina,Catch Me If You Can: The True Story of a Real Fake,Frank W. Abagnale,1840187166,0,4.07,Mainstream Publishing,224,2003,3/6/16,,,read
Katrina,Modernist Cuisine at Home,Nathan Myhrvold,982761015,0,4.51,Cooking Lab,456,2012,2/27/16,to-read,to-read (#9),to-read
Katrina,1984,George Orwell,,0,4.17,New American Library,328,1950,2/26/16,to-read,to-read (#8),to-read
Katrina,Mémoires de guerre Tome 2 1941-1945 (Texto),Winston S. Churchill,,0,4.44,Tallandier,966,2015,2/24/16,to-read,to-read (#7),to-read
Katrina,Mémoires de guerre Tome 1 1919-1941 (Texto),Winston S. Churchill,,0,4.22,Tallandier,688,2015,2/24/16,to-read,to-read (#6),to-read
Katrina,Mémoires de la Grande Guerre: 1911-1915,Winston S. Churchill,,0,4.67,Tallandier,614,2014,2/24/16,to-read,to-read (#4),to-read
Katrina,The Food Lab: Better Home Cooking Through Science,J. Kenji López-Alt,393081087,0,4.5,W. W. Norton  Company,960,2015,2/24/16,to-read,to-read (#3),to-read
Katrina,The Professional Chef,Culinary Institute of America,471382574,0,4.26,John Wiley & Sons,1036,2001,2/24/16,to-read,to-read (#2),to-read
Katrina,New Larousse Gastronomique,Hamlyn Publishing Group,600620425,0,4.59,Hamlyn (UK),1216,2009,2/24/16,to-read,to-read (#1),to-read
Katrina,Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,385523904,5,4.43,Spiegel & Grau,316,2009,2/24/16,,,read
Katrina,Life of Pi,Yann Martel,770430074,4,3.9,Seal Books,460,2006,2/24/16,,,read
Katrina,"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,,5,4.07,Modern Library,625,2001,2/24/16,,,read
Katrina,The Count of Monte Cristo,Alexandre Dumas,140449264,5,4.24,Penguin Classics,1276,2003,2/24/16,,,read
Katrina,Desert Flower,Waris Dirie,688172377,5,4.14,William Morrow Paperbacks,240,2011,2/24/16,,,read
Katrina,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,374105235,5,4.15,Sarah Crichton Books,229,2007,2/24/16,,,read
Katrina,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,307592731,5,3.99,Knopf,315,2012,2/24/16,,,read
Katrina,Steve & Me,Terri Irwin,1416953884,5,4.3,Simon Spotlight Entertainment,273,2007,2/24/16,,,read
Katrina,Tracks: A Woman's Solo Trek Across 1700 Miles of Australian Outback,Robyn Davidson,679762876,5,3.93,Vintage,288,1995,2/24/16,,,read
Katrina,Pink Boots and a Machete: My Journey from NFL Cheerleader to National Geographic Explorer,Mireya Mayor,1426207212,4,3.71,National Geographic Society,301,2011,2/24/16,,,read
Katrina,Tropic of Capricorn,Simon Reeve,1846074401,5,3.95,BBC Books,376,2008,2/24/16,,,read
Jen,"Better Than Before: What I Learned About Making and Breaking Habits - to Sleep More, Quit Sugar, Procrastinate Less, and Generally Build a Happier Life",Gretchen Rubin,1444769014,0,3.84,Hodder & Stoughton General Division,304,2016,7/30/19,to-read,to-read (#420),to-read
Jen,"The Four Tendencies: The Indispensable Personality Profiles That Reveal How to Make Your Life Better (and Other People's Lives Better, Too)",Gretchen Rubin,0525496289,0,3.85,Books on Tape,7,2017,7/30/19,to-read,to-read (#419),to-read
Jen,How to Be Everything: A Guide for Those Who (Still) Don't Know What They Want to Be When They Grow Up,Emilie Wapnick,0062566687,0,3.87,HarperOne,240,2017,7/30/19,to-read,to-read (#418),to-read
Jen,Born for This: How to Find the Work You Were Meant to Do,Chris Guillebeau,1101903988,0,3.61,Crown Business,320,2016,7/30/19,to-read,to-read (#417),to-read
Jen,"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",Chris Guillebeau,0307951529,0,3.83,Crown Business,268,2012,7/30/19,to-read,to-read (#416),to-read
Jen,Side Hustle: From Idea to Income in 27 Days,Chris Guillebeau,1524758841,0,3.77,Currency,272,2017,7/30/19,to-read,to-read (#415),to-read
Jen,"The Once and Future King (The Once and Future King, #1-4)",T.H. White,0441627404,0,4.08,Ace,639,1987,7/11/19,to-read,to-read (#414),to-read
Jen,1Q84,Haruki Murakami,0307593312,0,3.92,Knopf,925,2011,7/11/19,to-read,to-read (#413),to-read
Jen,Kafka on the Shore,Haruki Murakami,1400079276,0,4.13,Vintage International,467,2006,7/11/19,to-read,to-read (#412),to-read
Jen,His Dark Materials (His Dark Materials #1-3),Philip Pullman,0440238609,0,4.25,Laurel Leaf Library,1088,2003,7/11/19,to-read,to-read (#411),to-read
Jen,The Martian Chronicles,Ray Bradbury,0553278223,0,4.14,Bantam/Spectra,182,1984,7/11/19,to-read,to-read (#410),to-read
Jen,Johnny Got His Gun,Dalton Trumbo,0806512814,0,4.17,Citadel,309,2000,7/11/19,to-read,to-read (#409),to-read
Jen,"The Foundation Trilogy (Foundation, #1-3)",Isaac Asimov,0380508567,0,4.4,,679,1974,7/11/19,to-read,to-read (#408),to-read
Jen,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,0739467352,0,4.02,W.W. Norton & Company,425,2005,7/11/19,to-read,to-read (#407),to-read
Jen,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,,0,4.25,William Morrow,491,2006,7/11/19,to-read,to-read (#406),to-read
